date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:51	22068/22068	---M--	200	added ('OK')	font/woff2	etag:%2263889ac1-5634%22	https://htmldemo.net/urdan/urdan/assets/fonts/urwabbeyw01-bold/URWAbbeyW01-Bold.woff2	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/urwabbeyw01-bold/URWAbbeyW01-Bold.woff2	(from https://htmldemo.net/urdan/urdan/assets/css/style.css)
17:10:52	27328/27328	---M--	200	added ('OK')	font/woff	etag:%2263889ac1-6ac0%22	https://htmldemo.net/urdan/urdan/assets/fonts/urwabbeyw01-bold/URWAbbeyW01-Bold.woff	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/urwabbeyw01-bold/URWAbbeyW01-Bold.woff	(from https://htmldemo.net/urdan/urdan/assets/css/style.css)
17:10:52	54512/54512	---M--	200	added ('OK')	application/octet-stream	etag:%2263889abf-d4f0%22	https://htmldemo.net/urdan/urdan/assets/fonts/urwabbeyw01-bold/URWAbbeyW01-Bold.ttf	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/urwabbeyw01-bold/URWAbbeyW01-Bold.ttf	(from https://htmldemo.net/urdan/urdan/assets/css/style.css)
17:10:52	10033/10033	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Nov%202023%2010:11:44%20GMT	https://htmldemo.net/urdan/urdan/assets/images/slider/slider-bg-1.jpg	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/slider/slider-bg-1.jpg	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:53	273755/273755	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:45%20GMT	https://htmldemo.net/urdan/urdan/assets/images/slider/slider-img-1.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/slider/slider-img-1.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:53	214061/214061	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:45%20GMT	https://htmldemo.net/urdan/urdan/assets/images/slider/slider-img-1-2.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/slider/slider-img-1-2.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:53	41930/41930	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:45%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-1.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-1.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:54	32654/32654	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:45%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-2.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-2.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:54	24693/24693	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:46%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-3.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-3.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:54	98093/98093	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:46%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-4.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-4.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:55	65351/65351	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:46%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-5.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-5.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:55	5798/5798	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:47%20GMT	https://htmldemo.net/urdan/urdan/assets/images/icon-img/sale.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/icon-img/sale.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:56	2363/2363	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:47%20GMT	https://htmldemo.net/urdan/urdan/assets/images/icon-img/car.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/icon-img/car.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:56	2025/2025	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:48%20GMT	https://htmldemo.net/urdan/urdan/assets/images/icon-img/time.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/icon-img/time.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:56	2416/2416	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:48%20GMT	https://htmldemo.net/urdan/urdan/assets/images/icon-img/dollar.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/icon-img/dollar.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:56	2088/2088	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:48%20GMT	https://htmldemo.net/urdan/urdan/assets/images/icon-img/discount.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/icon-img/discount.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:57	164375/164375	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:48%20GMT	https://htmldemo.net/urdan/urdan/assets/images/product/single-product.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/product/single-product.png	(from https://htmldemo.net/urdan/urdan/index.html)
17:10:58	100897/100897	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:49%20GMT	https://htmldemo.net/urdan/urdan/assets/images/bg/bg-1.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/bg/bg-1.png	(from https://htmldemo.net/urdan/urdan/index.html)
